Precio|Área (m²)|Ubicación|Habitaciones|Baños|Nombre de la agencia|Título de la propiedad|Instalaciones
169279|94|Distrito Metropolitano de Quito|2|2|Intramuros Constructora|Edificio Nuovo - Departamento 408|N/A
202578|147|Distrito Metropolitano de Quito|2|3|Intramuros Constructora|Edificio Nuovo - Departamento 206|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
220920|105|Distrito Metropolitano de Quito|2|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Hermoso Departamento Dos Dormitorios En Venta- Bellavista|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
135000|100|Distrito Metropolitano de Quito|3|2|GS CONSTRUCCIONES Y BIENES RAÍCES|Vendo Acogedor Departamento 3 Dormitorios - Bellavista Baja|Estacionamiento, Cocina equipada, Jacuzzi, Vista panorámica, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
280000|341|Distrito Metropolitano de Quito|3|5|GS CONSTRUCCIONES Y BIENES RAÍCES|Vendo Moderno Ph 3 Dormitorios Con Terraza Cubierta - Bellavista Baja|Estacionamiento, Cocina equipada, Cocina integral, Armario empotrado, Gas natural, Chimenea, Agua, Electricidad, Completamente amoblado, Terraza, Gimnasio, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
150000|98|Distrito Metropolitano de Quito|2|2|GS CONSTRUCCIONES Y BIENES RAÍCES|Hermoso Departamento En Venta - Sector Bellavista|Estacionamiento, Cocina equipada, Cocina integral, Cuarto de servicio, Armario empotrado, Gas natural, Agua, Electricidad, Terraza, Gimnasio, Ascensor, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
270000|164|Distrito Metropolitano de Quito|2|3|Inmoejecutivos|Vendo Departamento Con Espectacular Vista. Gonzáles Suárez. Quito|Estacionamiento, Cocina integral, Vista panorámica, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Ascensor, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
124000|144|Distrito Metropolitano de Quito|3|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Departamento De Venta Sector Ponceano|Estacionamiento, Internet, Balcón, Cocina integral, Jacuzzi, Vista panorámica, Patio, Alarma, Armario empotrado, Chimenea, Agua, Electricidad, Parcialmente amoblado, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
220000|155|Distrito Metropolitano de Quito|3|2|Inmoejecutivos|Espectacular Departamento De Venta En Cumbayá|Estacionamiento, Armario empotrado, Agua, Electricidad, Sin amoblar, Ascensor, Conserje
98000|95|Distrito Metropolitano de Quito|3|3|FREDDY CABRERA - BIENES RAÍCES|Hermoso Departamento En Quito (av. De Los Granados) Frente A La Udla|Estacionamiento, Internet, Balcón, Cocina integral, Vista panorámica, Patio, Armario empotrado, Agua, Electricidad, Parcialmente amoblado, Terraza, Seguridad, Gimnasio, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
